,name,address,kurtosis_oxygen,occupation,pregnant,education-num,skewness_glucose,mean_glucose,std_oxygen,capital-gain,skewness_oxygen,kurtosis_glucose,personal_info,fnlwgt,class,std_glucose,income,mean_oxygen,hours-per-week,capital-loss,workclass
0,Michael Henson,"6096 Edwards Camp Suite 572
North Samantha, ME 41798",10.97182414, Other-service,f,1.0,0.995285147,111.0625,15.23718585,0.0,140.8076956,0.28654830600000003,"White|Mexico
Preschool -- Married-civ-spouse|Husband",566537.0,0.0,42.34858137, <=50K,1.8628762540000001,40.0,1672.0, Private
1,Roger Navarro,"6708 Lee Ports
West Gina, IA 48805",5.464095407, Craft-repair,f,13.0,-0.7424042670000001,,25.52239703,0.0,30.95076206,-0.133974213,"Asian-Pac-Islander|United-States
Bachelors -- Married-civ-spouse|Husband",145271.0,0.0,55.14324331, <=50K,4.984949833,40.0,0.0, Private
2,Donald Torres,"Unit 2993 Box 1225
DPO AE 77257",1.123216083, Handlers-cleaners,f,9.0,1.4987132380000001,92.625,81.09780027,0.0,-0.246585138,1.245449139,"White|United-States
HS-grad -- Married-civ-spouse|Husband",210945.0,1.0,49.33099305, <=50K,55.12458194,24.0,0.0, Private
3,William Speegle,"692 George Mews Apt. 213
Lake Nancytown, AR 72586",6.4950508639999995, Exec_managerial,f,12.0,-0.27900438699999996,140.46875,29.42482285,0.0,43.50545491,-0.116063931,"White|United-States
Assoc-acdm -- Divorced|Not-in-family",305259.0,0.0,5174.032783, <=50K,5.005852843,48.0,0.0, Private
4,Daryl Rager,"5130 Michael Burgs
Piercetown, GA 74716",4.3725557539999995, Handlers-cleaners,f,7.0,3.350987323,94.1171875,39.14880465,0.0,18.70708369,1.222038339,"White|United-States
11th -- Never-married|Own-child",169037.0,1.0,41.52627577, <=50K,9.563545151,40.0,0.0, Private
5,James Bailey,"1283 Mata Via Apt. 312
New Brianton, WI 01269",8.914689791, ?,f,10.0,-0.261854192,131.1015625,16.87011412,0.0,97.01764148,-0.123295178,"White|United-States
Some-college -- Divorced|Not-in-family",126540.0,0.0,52.34752260000001, <=50K,2.840301003,5.0,0.0, ?
6,Willie Gerace,"Unit 0472 Box 3935
DPO AA 56086",8.350747036, Exec-managerial,FALSE,10.0,3.610585758,88.15625,18.96287028,0.0,77.19539925,0.854346615,"White|United-States
Some-college -- Married-civ-spouse|Husband",208577.0,0.0,33.5997669, >50K,2.660535117,45.0,0.0, Self-emp-not-inc
7,Samuel Thompson,"2493 Woods Pines
Austinmouth, DC 79486",32.11141593, Adm-clerical,f,16.0,0.661201313,117.0234375,7.565661682999999,0.0,1071.604226,0.118215526,"White|United-States
Doctorate -- Married-civ-spouse|Husband",53197.0,0.0,43.90427528, >50K,0.324414716,50.0,0.0, State-gov
8,James Heidebrecht,"0832 Tanya Brook Apt. 701
New Cynthiabury, AK 31812",6.361837307999999, Craft-repair,f,9.0,-0.429632907,125.734375,29.93619483,0.0,40.25501275,0.026516672999999998,"White|United-States
HS-grad -- Married-civ-spouse|Husband",112283.0,0.0,52.65772207, >50K,4.850334448,60.0,0.0, Private
9,Mark Davis,"8407 Krystal Fall
Thomasport, DE 55476",9.327599076, Other-service,FALSE,9.0,0.309908392,117.421875,13.30808073,0.0,127.5434637,0.273382821,"White|United-States
HS-grad -- Divorced|Not-in-family",31533.0,0.0,47.3914235, <=50K,2.366220736,40.0,0.0, Private
10,Edward Allscheid,"3089 Jose Drive Apt. 430
South Heather, VA 93791",2.621128662, Sales,f,13.0,3.4795419130000003,??,55.94717963,0.0,6.138580656,1.664957245,"White|United-States
Bachelors -- Married-civ-spouse|Husband",38819.0,1.0,48.25752287, >50K,22.90384615,50.0,0.0, Self-emp-inc
11,Oliver Brawn,"53669 Rachel Islands Suite 963
New Jennifer, GA 06412",18.8029448, Handlers-cleaners,f,10.0,-0.607605947,125.9375,9.758761489,0.0,425.94181619999995,-0.040687378999999996,"White|Mexico
Some-college -- Married-civ-spouse|Husband",440129.0,0.0,54.51200413, <=50K,0.839464883,38.0,0.0, Private
12,William Carroll,"004 Reed Garden
Palmerbury, TN 94088",4.451665136, Farming-fishing,f,9.0,-0.008164540999999999,,41.88905582,0.0,19.11656877,1.0024090079999999,"White|United-States
HS-grad -- Never-married|Own-child",95997.0,1.0,56.95494896, <=50K,10.04264214,70.0,0.0, Self-emp-inc
