,name,address,age,sex,date_of_birth
0,Roscoe Bohannon,"7183 Osborne Ways Apt. 651
East Andrew, OH 53211",58, Male,01/12/1960
1,Ernest Kline,"391 Ball Road Suite 961
Flowersborough, IN 57550",51, Female,1968-02-02
2,Harold Hendriks,"8702 Vincent Square
New Jerryfurt, CO 30614",60, Female,58-11-24
3,Randy Baptiste,"2751 Harris Crossroad
West Ashley, CA 30311",45, Male,04/04/1974
4,Anthony Colucci,"904 Robert Cliffs Suite 186
West Kyle, CO 77139",70, Male,1948-12-01
5,Ronald Lange,"30973 Martinez Shores
Jameston, CA 70245",48, Male,1971-09-24
6,Boyd Eiselein,"29941 Christopher Curve Apt. 682
Raychester, VA 32742",67, Male,1952-10-16
7,Raymond Smith,"53487 Scott Extensions Apt. 824
Mccartytown, MA 94793",56, Male,1963-02-05 00:00:00
8,Harold Miller,"8514 Elizabeth Crescent
West Joseland, GA 49359",49, Male,70-06-19
9,Charles Czachorowski,"6798 Wagner Locks Suite 377
Lake Brenda, DC 53038",44, Male,1975-03-12
10,Robert Grantham,"822 Adams Plains
New Karen, AK 92114",44, Male,1975-01-28
11,Joel Lam,"61296 Reginald Rapids Suite 783
West Timothyview, IA 09137",36, Female,1983/03/01
12,Irving Gil,"90757 Amanda Views Suite 604
Port Paul, TX 04848",49, Female,1970-07-29
13,Terry Reynolds,"0019 Jensen Land Apt. 513
Port Timothyville, WI 53386",52, Male,19/01/1967
14,Kurt Littlefield,"822 Wilson Meadow
Mitchellmouth, RI 05935",62, Female,1957-09-04
15,Andy Grayson,"2573 Ryan Mission
Shortton, DC 01129",50, Female,1969-10-17 00 00 00
16,Chauncey Suarez,"481 Wilson Prairie
Kimberlymouth, LA 20064",40, Male,19/11/1978
17,Wallace Street,"9909 John Creek
East Heather, NY 31266",52, Female,1967-02-14
18,Daniel Crossman,"74669 Robles Drive
Port Madisonbury, LA 63565",53, Male,66-03-29
19,Steve Ripp,"7629 Ramos Knoll
Owensmouth, NC 34420",73, Male,1946-04-23
